id,datestamp,timestamp,demand
340147,2014-08-23,18:00:02,31074
340148,2014-08-23,18:05:03,31056
340149,2014-08-23,18:10:01,31050
340150,2014-08-23,18:15:02,31034
340151,2014-08-23,18:20:02,31001
340152,2014-08-23,18:25:02,31007
340153,2014-08-23,18:30:02,30943
340154,2014-08-23,18:35:01,30874
340155,2014-08-23,18:40:04,30879
340156,2014-08-23,18:45:01,30834
340157,2014-08-23,18:50:02,30825
340158,2014-08-23,18:55:02,30823
340159,2014-08-23,19:00:02,30838
340160,2014-08-23,19:05:05,30796
340161,2014-08-23,19:10:04,30925
340162,2014-08-23,19:15:01,30902
340163,2014-08-23,19:20:03,30976
340164,2014-08-23,19:25:03,31080
340165,2014-08-23,19:30:02,31284
340166,2014-08-23,19:35:05,31431
340167,2014-08-23,19:40:01,31569
340168,2014-08-23,19:45:02,31723
340169,2014-08-23,19:50:03,31789
340170,2014-08-23,19:55:02,32045
340171,2014-08-23,20:00:03,31986
340172,2014-08-23,20:05:03,31811
340173,2014-08-23,20:10:06,31806
340174,2014-08-23,20:15:02,31803
340175,2014-08-23,20:20:03,31783
340176,2014-08-23,20:25:02,31628
340177,2014-08-23,20:30:03,31437
340178,2014-08-23,20:35:03,31264
340179,2014-08-23,20:40:02,31135
340180,2014-08-23,20:45:02,30964
340181,2014-08-23,20:50:02,30786
340182,2014-08-23,20:55:02,30662
340183,2014-08-23,21:00:04,30514
340184,2014-08-23,21:05:03,30327
340185,2014-08-23,21:10:01,30275
340186,2014-08-23,21:15:02,29987
340187,2014-08-23,21:20:05,29728
340188,2014-08-23,21:25:02,29503
340189,2014-08-23,21:30:04,29218
340190,2014-08-23,21:35:02,29011
340191,2014-08-23,21:40:02,28850
340192,2014-08-23,21:45:03,28585
340193,2014-08-23,21:50:03,28357
340194,2014-08-23,21:55:03,28121
340195,2014-08-23,22:00:01,27866
340196,2014-08-23,22:05:01,27535
340197,2014-08-23,22:10:05,27279
340198,2014-08-23,22:15:03,27030
340199,2014-08-23,22:20:03,26739
340200,2014-08-23,22:25:01,26438
340201,2014-08-23,22:30:04,26161
340202,2014-08-23,22:35:01,25940
340203,2014-08-23,22:40:04,25683
340204,2014-08-23,22:45:03,25438
340205,2014-08-23,22:50:02,25199
340206,2014-08-23,22:55:01,24980
342163,2014-08-30,18:00:04,32003
342164,2014-08-30,18:05:03,31986
342165,2014-08-30,18:10:05,32039
342166,2014-08-30,18:15:02,32009
342167,2014-08-30,18:20:02,32025
342168,2014-08-30,18:25:02,32059
342169,2014-08-30,18:30:04,32016
342170,2014-08-30,18:35:03,32065
342171,2014-08-30,18:40:02,32155
342172,2014-08-30,18:45:02,32047
342173,2014-08-30,18:50:01,32013
342174,2014-08-30,18:55:03,32154
342175,2014-08-30,19:00:02,32140
342176,2014-08-30,19:05:01,32237
342177,2014-08-30,19:10:02,32512
342178,2014-08-30,19:15:03,32536
342179,2014-08-30,19:20:04,32569
342180,2014-08-30,19:25:01,32748
342181,2014-08-30,19:30:03,33009
342182,2014-08-30,19:35:04,32953
342183,2014-08-30,19:40:02,32917
342184,2014-08-30,19:45:03,32902
342185,2014-08-30,19:50:02,32642
342186,2014-08-30,19:55:02,32537
342187,2014-08-30,20:00:06,32473
342188,2014-08-30,20:05:02,32233
342189,2014-08-30,20:10:04,32067
342190,2014-08-30,20:15:02,31875
342191,2014-08-30,20:20:01,32019
342192,2014-08-30,20:25:03,31883
342193,2014-08-30,20:30:02,31786
342194,2014-08-30,20:35:03,31779
342195,2014-08-30,20:40:03,31546
342196,2014-08-30,20:45:02,31372
342197,2014-08-30,20:50:02,31178
342198,2014-08-30,20:55:02,30956
342199,2014-08-30,21:00:02,30797
342200,2014-08-30,21:05:01,30526
342201,2014-08-30,21:10:05,30320
342202,2014-08-30,21:15:02,30119
342203,2014-08-30,21:20:04,29906
342204,2014-08-30,21:25:02,29737
342205,2014-08-30,21:30:02,29443
342206,2014-08-30,21:35:04,29093
342207,2014-08-30,21:40:01,28900
342208,2014-08-30,21:45:03,28705
342209,2014-08-30,21:50:02,28426
342210,2014-08-30,21:55:02,28130
342211,2014-08-30,22:00:02,27814
342212,2014-08-30,22:05:02,27494
342213,2014-08-30,22:10:04,27154
342214,2014-08-30,22:15:02,26913
342215,2014-08-30,22:20:02,26652
342216,2014-08-30,22:25:02,26339
342217,2014-08-30,22:30:01,26292
342218,2014-08-30,22:35:01,26085
342219,2014-08-30,22:40:01,25896
342220,2014-08-30,22:45:03,25617
342221,2014-08-30,22:50:03,25253
342222,2014-08-30,22:55:02,24930
344179,2014-09-06,18:00:03,33768
344180,2014-09-06,18:05:03,33759
344181,2014-09-06,18:10:02,33725
344182,2014-09-06,18:15:02,33723
344183,2014-09-06,18:20:04,33646
344184,2014-09-06,18:25:03,33608
344185,2014-09-06,18:30:02,33613
344186,2014-09-06,18:35:02,33561
344187,2014-09-06,18:40:01,33680
344188,2014-09-06,18:45:04,33726
344189,2014-09-06,18:50:02,33783
344190,2014-09-06,18:55:01,33969
344191,2014-09-06,19:00:01,34123
344192,2014-09-06,19:05:03,34222
344193,2014-09-06,19:10:05,34609
344194,2014-09-06,19:15:03,34718
344195,2014-09-06,19:20:05,34619
344196,2014-09-06,19:25:03,34567
344197,2014-09-06,19:30:02,34593
344198,2014-09-06,19:35:01,34382
344199,2014-09-06,19:40:01,34283
344200,2014-09-06,19:45:02,34181
344201,2014-09-06,19:50:04,33905
344202,2014-09-06,19:55:02,33786
344203,2014-09-06,20:00:04,33698
344204,2014-09-06,20:05:03,33511
344205,2014-09-06,20:10:04,33320
344206,2014-09-06,20:15:02,33257
344207,2014-09-06,20:20:02,33031
344208,2014-09-06,20:25:01,32672
344209,2014-09-06,20:30:01,32832
344210,2014-09-06,20:35:03,32654
344211,2014-09-06,20:40:02,32443
344212,2014-09-06,20:45:01,32121
344213,2014-09-06,20:50:04,31831
344214,2014-09-06,20:55:03,31669
344215,2014-09-06,21:00:03,31455
344216,2014-09-06,21:05:01,31276
344217,2014-09-06,21:10:02,31103
344218,2014-09-06,21:15:02,30800
344219,2014-09-06,21:20:06,30593
344220,2014-09-06,21:25:02,30359
344221,2014-09-06,21:30:02,30109
344222,2014-09-06,21:35:02,29923
344223,2014-09-06,21:40:04,29735
344224,2014-09-06,21:45:02,29407
344225,2014-09-06,21:50:03,29112
344226,2014-09-06,21:55:03,28776
344227,2014-09-06,22:00:01,28476
344228,2014-09-06,22:05:02,28132
344229,2014-09-06,22:10:04,27920
344230,2014-09-06,22:15:02,27642
344231,2014-09-06,22:20:06,27381
344232,2014-09-06,22:25:03,27065
344233,2014-09-06,22:30:01,26736
344234,2014-09-06,22:35:02,26550
344235,2014-09-06,22:40:02,26324
344236,2014-09-06,22:45:02,26117
344237,2014-09-06,22:50:02,25920
344238,2014-09-06,22:55:02,25682
346195,2014-09-13,18:00:02,33219
346196,2014-09-13,18:05:03,33173
346197,2014-09-13,18:10:02,33249
346198,2014-09-13,18:15:03,33280
346199,2014-09-13,18:20:05,33234
346200,2014-09-13,18:25:01,33288
346201,2014-09-13,18:30:01,33466
346202,2014-09-13,18:35:02,33570
346203,2014-09-13,18:40:03,33792
346204,2014-09-13,18:45:03,34010
346205,2014-09-13,18:50:02,34175
346206,2014-09-13,18:55:01,34406
346207,2014-09-13,19:00:04,34679
346208,2014-09-13,19:05:02,34557
346209,2014-09-13,19:10:03,34758
346210,2014-09-13,19:15:02,34544
346211,2014-09-13,19:20:03,34243
346212,2014-09-13,19:25:02,34115
346213,2014-09-13,19:30:05,33901
346214,2014-09-13,19:35:02,33714
346215,2014-09-13,19:40:03,33729
346216,2014-09-13,19:45:02,33488
346217,2014-09-13,19:50:03,33199
346218,2014-09-13,19:55:01,32972
346219,2014-09-13,20:00:01,32981
346220,2014-09-13,20:05:03,32808
346221,2014-09-13,20:10:04,32729
346222,2014-09-13,20:15:03,32509
346223,2014-09-13,20:20:04,32225
346224,2014-09-13,20:25:02,32088
346225,2014-09-13,20:30:03,31959
346226,2014-09-13,20:35:03,31756
346227,2014-09-13,20:40:01,31485
346228,2014-09-13,20:45:01,31193
346229,2014-09-13,20:50:04,31035
346230,2014-09-13,20:55:03,30892
346231,2014-09-13,21:00:03,30688
346232,2014-09-13,21:05:02,30455
346233,2014-09-13,21:10:03,30242
346234,2014-09-13,21:15:02,29949
346235,2014-09-13,21:20:05,29715
346236,2014-09-13,21:25:01,29454
346237,2014-09-13,21:30:01,29238
346238,2014-09-13,21:35:02,28942
346239,2014-09-13,21:40:04,28732
346240,2014-09-13,21:45:03,28512
346241,2014-09-13,21:50:03,28329
346242,2014-09-13,21:55:02,28193
346243,2014-09-13,22:00:02,27869
346244,2014-09-13,22:05:01,27589
346245,2014-09-13,22:10:05,27236
346246,2014-09-13,22:15:02,26943
346247,2014-09-13,22:20:03,26677
346248,2014-09-13,22:25:03,26435
346249,2014-09-13,22:30:01,26120
346250,2014-09-13,22:35:03,25952
346251,2014-09-13,22:40:03,25832
346252,2014-09-13,22:45:03,25510
346253,2014-09-13,22:50:01,25163
346254,2014-09-13,22:55:01,24875
348211,2014-09-20,18:00:05,35235
348212,2014-09-20,18:05:02,35313
348213,2014-09-20,18:10:02,35311
348214,2014-09-20,18:15:02,35315
348215,2014-09-20,18:20:04,35322
348216,2014-09-20,18:25:02,35481
348217,2014-09-20,18:30:01,35589
348218,2014-09-20,18:35:01,35718
348219,2014-09-20,18:40:03,35980
348220,2014-09-20,18:45:04,36020
348221,2014-09-20,18:50:02,35843
348222,2014-09-20,18:55:02,35886
348223,2014-09-20,19:00:03,35652
348224,2014-09-20,19:05:04,35522
348225,2014-09-20,19:10:03,35522
348226,2014-09-20,19:15:03,35205
348227,2014-09-20,19:20:02,34798
